time,logger,level,database,message,exception
2013-09-10 00:01:19.0744,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-10 00:01:19.0744,Raven.Database.Server.HttpServer,Debug,,Request # 317: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-09-10 00:01:19.2354,Raven.Database.Server.HttpServer,Debug,,Request # 318: HEAD    -     0 ms - <system>   - 200 - /indexes/RegistrationByUserAndEvent,
2013-09-10 00:01:19.3365,Raven.Database.Server.HttpServer,Debug,,Request # 319: PUT     -     0 ms - <system>   - 201 - /indexes/RegistrationByUserAndEvent,
2013-09-10 00:01:19.3495,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-10 00:01:19.3495,Raven.Database.Server.HttpServer,Debug,,Request # 320: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-09-10 00:01:19.6305,Raven.Database.Server.HttpServer,Debug,,Request # 321: HEAD    -     0 ms - <system>   - 200 - /indexes/UserViaProviderIndex,
2013-09-10 00:01:19.6305,Raven.Database.Server.HttpServer,Debug,,Request # 322: PUT     -     0 ms - <system>   - 201 - /indexes/UserViaProviderIndex,
2013-09-10 00:01:19.6305,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-10 00:01:19.6305,Raven.Database.Server.HttpServer,Debug,,Request # 323: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-09-10 00:01:19.9035,Raven.Database.Server.HttpServer,Debug,,Request # 324: HEAD    -     0 ms - <system>   - 200 - /indexes/UserWithEmailIndex,
2013-09-10 00:01:19.9075,Raven.Database.Server.HttpServer,Debug,,Request # 325: PUT     -     0 ms - <system>   - 201 - /indexes/UserWithEmailIndex,
2013-09-10 00:01:19.9075,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Replication/Destinations' was not found,
2013-09-10 00:01:19.9075,Raven.Database.Server.HttpServer,Debug,,Request # 326: GET     -     0 ms - <system>   - 404 - /docs/Raven/Replication/Destinations,
2013-09-10 00:01:25.6890,Raven.Database.Indexing.Index.Querying,Debug,<system>,Issuing query on index UserViaProviderIndex for: OAuthAccounts_Provider:fakefacebook AND OAuthAccounts_ProviderUserId:FakeId\-ABCDEFGHIJKLMNOPQRSTUVWXYZ,
2013-09-10 00:01:25.6890,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'users/eisenbergeffect' was found,
2013-09-10 00:01:25.6890,Raven.Database.Server.HttpServer,Debug,,Request # 327: GET     -     4 ms - <system>   - 200 - /indexes/UserViaProviderIndex?query=OAuthAccounts_Provider%253Afakefacebook%2520AND%2520OAuthAccounts_ProviderUserId%253AFakeId%255C-ABCDEFGHIJKLMNOPQRSTUVWXYZ&pageSize=2,
2013-09-10 00:01:25.6890,Raven.Database.Server.HttpServer,Debug,,"	Query: OAuthAccounts_Provider:fakefacebook AND OAuthAccounts_ProviderUserId:FakeId\-ABCDEFGHIJKLMNOPQRSTUVWXYZ
	Time: 2 ms
	Index: UserViaProviderIndex
	Results: 1 returned out of 1 total.
",
2013-09-10 00:01:25.7650,Raven.Database.Indexing.Index.Querying,Debug,<system>,Issuing query on index RegistrationByUserAndEvent for: User_Id:users/eisenbergeffect AND Event_Id:events/code\-camp\-9,
2013-09-10 00:01:25.7650,Raven.Database.Server.HttpServer,Debug,,Request # 328: GET     -     1 ms - <system>   - 200 - /indexes/RegistrationByUserAndEvent?query=User_Id%253Ausers%252Feisenbergeffect%2520AND%2520Event_Id%253Aevents%252Fcode%255C-camp%255C-9&pageSize=2,
2013-09-10 00:01:25.7650,Raven.Database.Server.HttpServer,Debug,,"	Query: User_Id:users/eisenbergeffect AND Event_Id:events/code\-camp\-9
	Time: 1 ms
	Index: RegistrationByUserAndEvent
	Results: 0 returned out of 0 total.
",
2013-09-10 00:01:28.7478,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/Hilo/EventRegistrations' was found,
2013-09-10 00:01:28.7478,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,Document with key 'Raven/ServerPrefixForHilo' was not found,
2013-09-10 00:01:28.7478,Raven.Database.Server.HttpServer,Debug,,Request # 329: GET     -     0 ms - <system>   - 200 - /queries/?&id=Raven/Hilo/EventRegistrations&id=Raven/ServerPrefixForHilo,
2013-09-10 00:01:28.7628,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'Raven/Hilo/EventRegistrations', update: True, ",
2013-09-10 00:01:28.7628,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 27 because: PUT Raven/Hilo/EventRegistrations,
2013-09-10 00:01:28.7628,Raven.Database.DocumentDatabase,Debug,<system>,Put document Raven/Hilo/EventRegistrations with etag 00000001-0000-0200-0000-000000000009,
2013-09-10 00:01:28.7628,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0200-0000-000000000008: (Raven/Hilo/EventRegistrations),
2013-09-10 00:01:28.7628,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 27, for: ReducingExecuter, will wait for additional work",
2013-09-10 00:01:28.7628,Raven.Database.Impl.DocumentRetriever,Debug,,Trigger Raven.Database.Plugins.Builtins.FilterRavenInternalDocumentsReadTrigger asked us to ignore Raven/Hilo/EventRegistrations,
2013-09-10 00:01:28.7628,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-09-10 00:01:28.7628,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0200-0000-000000000008: (Raven/Hilo/EventRegistrations)",
2013-09-10 00:01:28.7628,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for RegistrationByUserAndEvent, no indexing will be performed, updating to 00000001-0000-0200-0000-000000000009, 09/10/2013 04:01:28",
2013-09-10 00:01:28.7628,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for UserWithEmailIndex, no indexing will be performed, updating to 00000001-0000-0200-0000-000000000009, 09/10/2013 04:01:28",
2013-09-10 00:01:28.7628,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for UserViaProviderIndex, no indexing will be performed, updating to 00000001-0000-0200-0000-000000000009, 09/10/2013 04:01:28",
2013-09-10 00:01:28.7628,Raven.Database.Server.HttpServer,Debug,,Request # 330: PUT     -     1 ms - <system>   - 201 - /docs/Raven/Hilo/EventRegistrations,
2013-09-10 00:01:28.7628,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (Raven/Hilo/EventRegistrations),
2013-09-10 00:01:28.7628,Raven.Database.Indexing.Index.Indexing,Debug,,Indexed 0 documents for Raven/DocumentsByEntityName,
2013-09-10 00:01:28.7628,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After indexing 1 documents, the new last etag for is: 00000001-0000-0200-0000-000000000009 for Raven/DocumentsByEntityName",
2013-09-10 00:01:28.7628,Raven.Database.Indexing.WorkContext,Debug,,Incremented work counter to 28 because: WORK BY IndexingExecuter,
2013-09-10 00:01:28.7628,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 28, for: ReducingExecuter, will wait for additional work",
2013-09-10 00:01:28.7628,Raven.Database.Indexing.WorkContext,Debug,,"No work was found, workerWorkCounter: 28, for: IndexingExecuter, will wait for additional work",
2013-09-10 00:01:28.7698,Raven.Database.Server.HttpServer,Debug,,Request # 331: GET     -     3 ms - <system>   - 200 - /stats?noCache=-1427729072,
2013-09-10 00:01:28.7878,Raven.Storage.Esent.StorageActions.DocumentStorageActions,Debug,<system>,"Inserted a new document with key 'EventRegistrations/129', update: False, ",
2013-09-10 00:01:28.7878,Raven.Database.DocumentDatabase,Debug,<system>,Put document EventRegistrations/129 with etag 00000001-0000-0200-0000-00000000000a,
2013-09-10 00:01:28.7878,Raven.Database.Indexing.WorkContext,Debug,<system>,Incremented work counter to 29 because: PUT EventRegistrations/129,
2013-09-10 00:01:28.7878,Raven.Database.DocumentDatabase,Debug,<system>,Successfully executed 1 commands in 00:00:00.0008644,
2013-09-10 00:01:28.7878,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Found a total of 1 documents that requires indexing since etag: 00000001-0000-0200-0000-000000000009: (EventRegistrations/129),
2013-09-10 00:01:28.7878,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,"After read triggers executed, 1 documents remained",
2013-09-10 00:01:28.7878,Raven.Database.Indexing.WorkContext,Debug,<system>,"No work was found, workerWorkCounter: 29, for: ReducingExecuter, will wait for additional work",
2013-09-10 00:01:28.7878,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: RegistrationByUserAndEvent, LastIndexedEtag: 00000001-0000-0200-0000-000000000009: (EventRegistrations/129)",
2013-09-10 00:01:28.7878,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for UserWithEmailIndex, no indexing will be performed, updating to 00000001-0000-0200-0000-00000000000a, 09/10/2013 04:01:28",
2013-09-10 00:01:28.7878,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"Going to index 1 documents in IndexName: Raven/DocumentsByEntityName, LastIndexedEtag: 00000001-0000-0200-0000-000000000009: (EventRegistrations/129)",
2013-09-10 00:01:28.7878,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,<system>,"All documents have been filtered for UserViaProviderIndex, no indexing will be performed, updating to 00000001-0000-0200-0000-00000000000a, 09/10/2013 04:01:28",
2013-09-10 00:01:28.7878,Raven.Database.Server.HttpServer,Debug,,Request # 332: POST    -     1 ms - <system>   - 200 - /bulk_docs,
2013-09-10 00:01:28.7878,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: RegistrationByUserAndEvent. (EventRegistrations/129),
2013-09-10 00:01:28.7878,Raven.Database.Indexing.AbstractIndexingExecuter,Debug,,Indexing 1 documents for index: Raven/DocumentsByEntityName. (EventRegistrations/129),
2013-09-10 00:01:28.7878,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on EventRegistrations/129 result in index RegistrationByUserAndEvent gave document: 	__document_id IS: eventregistrations/129
	User_Id I-: users/eisenbergeffect
	Event_Id I-: events/code-camp-9
",
2013-09-10 00:01:28.7878,Raven.Database.Indexing.Index.Indexing,Debug,,"Indexing on EventRegistrations/129 result in index Raven/DocumentsByEntityName gave document: 	__document_id IS: eventregistrations/129
	Tag I-: EventRegistrations
	LastModified I-: 2013-09-10T04:01:28.7938779Z
",
2013-09-10 00:01:28.7878,Raven.Database.Server.HttpServer,Debug,,"	PUT EventRegistrations/129
",
2013-09-10 00:01:28.8008,Raven.Database.Server.HttpServer,Debug,,Request # 333: GET     -     1 ms - <system>   - 200 - /terms/Raven/DocumentsByEntityName?field=Tag&fromValue=&pageSize=100&noCache=1207959468,
